week_start,Trading day,Trading_time,Count,Buy Count,Sell Count,pct_buy,week
16/03/2020,Friday,09:00,1,1,0,1,1
16/03/2020,Friday,13:00,2,2,0,1,1
30/03/2020,Friday,15:00,1,1,0,1,2
30/03/2020,Wednesday,15:00,1,1,0,1,2
30/03/2020,Wednesday,16:00,1,1,0,1,2
06/04/2020,Monday,07:00,1,1,0,1,3
13/04/2020,Monday,13:00,3,3,0,1,4
13/04/2020,Tuesday,07:00,1,1,0,1,4
20/04/2020,Tuesday,13:00,1,1,0,1,5
20/04/2020,Wednesday,14:00,1,1,0,1,5
27/04/2020,Friday,07:00,1,1,0,1,6
27/04/2020,Monday,14:00,1,1,0,1,6
11/05/2020,Monday,09:00,2,2,0,1,7
11/05/2020,Monday,13:00,1,1,0,1,7
11/05/2020,Tuesday,17:00,1,1,0,1,7
11/05/2020,Wednesday,07:00,2,2,0,1,7
11/05/2020,Wednesday,15:00,1,1,0,1,7
11/05/2020,Wednesday,16:00,1,1,0,1,7
11/05/2020,Wednesday,18:00,1,1,0,1,7
18/05/2020,Friday,13:00,2,2,0,1,8
18/05/2020,Monday,16:00,1,1,0,1,8
25/05/2020,Friday,09:00,1,1,0,1,9
25/05/2020,Friday,13:00,1,1,0,1,9
25/05/2020,Friday,14:00,1,1,0,1,9
25/05/2020,Friday,15:00,2,2,0,1,9
25/05/2020,Thursday,07:00,1,1,0,1,9
25/05/2020,Thursday,08:00,3,0,3,0,9
25/05/2020,Thursday,10:00,1,0,1,0,9
25/05/2020,Thursday,13:00,3,1,2,0.333333333,9
25/05/2020,Tuesday,07:00,3,3,0,1,9
25/05/2020,Tuesday,13:00,1,1,0,1,9
25/05/2020,Wednesday,07:00,3,3,0,1,9
25/05/2020,Wednesday,13:00,1,1,0,1,9
01/06/2020,Friday,07:00,1,1,0,1,10
01/06/2020,Friday,13:00,1,0,1,0,10
01/06/2020,Friday,14:00,1,1,0,1,10
01/06/2020,Friday,18:00,1,0,1,0,10
01/06/2020,Friday,19:00,1,0,1,0,10
01/06/2020,Monday,07:00,1,1,0,1,10
01/06/2020,Monday,09:00,1,1,0,1,10
01/06/2020,Thursday,07:00,4,4,0,1,10
01/06/2020,Thursday,08:00,1,1,0,1,10
01/06/2020,Thursday,09:00,1,1,0,1,10
01/06/2020,Thursday,13:00,1,1,0,1,10
01/06/2020,Thursday,16:00,1,1,0,1,10
01/06/2020,Thursday,17:00,3,2,1,0.666666667,10
01/06/2020,Tuesday,07:00,1,1,0,1,10
01/06/2020,Tuesday,13:00,1,1,0,1,10
08/06/2020,Friday,12:00,4,4,0,1,11
08/06/2020,Friday,13:00,1,1,0,1,11
08/06/2020,Friday,15:00,5,5,0,1,11
08/06/2020,Friday,19:00,1,1,0,1,11
08/06/2020,Monday,07:00,3,3,0,1,11
08/06/2020,Monday,08:00,1,0,1,0,11
08/06/2020,Monday,12:00,1,0,1,0,11
