,Unnamed: 0,index,Order ID,Ticker Symbol,Type,Shares,Price,Total amount,Trading day,Trading time,Commission,Charges and fees,Order Type,Execution venue,Exchange rate,Total cost,ISIN,Execution_Price,Target
0,0,1459,POS245087914,TSLA,Buy,0.08,686.6212,54.93,2020-06-05,14:28:43,0.0,0.0,MARKET,Over the Counter (OTC),0.78768,54.93,US88160R1014,174.3401381271582,1
1,1,1460,POS245087914,TSLA,Buy,0.04706204,1062.4254,50.0,2020-07-06,17:48:27,0.0,0.0,MARKET,Over the Counter (OTC),0.80001,50.0,US88160R1014,265.603029962126,0
2,2,1461,POS245087914,TSLA,Buy,0.07274466,1374.6711,100.0,2020-07-13,13:40:03,0.0,0.0,MARKET,Over the Counter (OTC),0.79236,100.0,US88160R1014,346.981447826746,0
3,3,1462,POS245087914,TSLA,Buy,0.04134525,1209.3268,50.0,2020-07-14,14:32:58,0.0,0.0,MARKET,Over the Counter (OTC),0.7977,50.0,US88160R1014,303.203409803184,0
4,4,1463,POS245087914,TSLA,Buy,0.04194028,1192.1693,50.0,2020-07-15,14:18:18,0.0,0.0,MARKET,Over the Counter (OTC),0.79385,50.0,US88160R1014,300.351275429868,1
5,5,1464,POS245087914,TSLA,Buy,0.08429902,1186.2533,100.0,2020-07-20,14:03:48,0.0,0.0,MARKET,Over the Counter (OTC),0.79212,100.0,US88160R1014,299.513533303034,1
6,6,1467,POS245087914,TSLA,Buy,0.04080259,1225.4103,50.0,2020-07-23,16:32:15,0.0,0.0,MARKET,Over the Counter (OTC),0.78417,50.0,US88160R1014,312.53689888672,1
7,7,1468,POS245087914,TSLA,Buy,0.04240717,1179.044,50.0,2020-07-23,18:07:07,0.0,0.0,MARKET,Over the Counter (OTC),0.78528,50.0,US88160R1014,300.28626731866404,1
8,8,1469,POS245087914,TSLA,Buy,0.1,1071.892,107.19,2020-07-24,13:50:34,0.0,0.0,MARKET,Over the Counter (OTC),0.78373,107.19,US88160R1014,273.53603919717204,1
9,9,1471,POS245087914,TSLA,Buy,0.1,1141.8725,114.19,2020-08-04,14:41:26,0.0,0.0,MARKET,Over the Counter (OTC),0.76667,114.19,US88160R1014,297.878487484838,1
10,10,1472,POS245087914,TSLA,Buy,0.05,1127.5062,56.38,2020-08-04,15:32:44,0.0,0.0,MARKET,Over the Counter (OTC),0.76557,56.38,US88160R1014,294.55339159058,1
11,11,1473,POS245087914,TSLA,Buy,0.02903,1110.9067,32.25,2020-08-12,13:33:48,0.0,0.0,MARKET,Over the Counter (OTC),0.7664,32.25,US88160R1014,289.902583507306,1
12,12,1474,POS245087914,TSLA,Buy,0.20001,1125.8427,225.18,2020-08-12,14:03:44,0.0,0.0,MARKET,Over the Counter (OTC),0.76784,225.18,US88160R1014,293.249296728486,1
13,13,1475,POS245087914,TSLA,Buy,0.4,1140.8463,456.34,2020-08-12,14:28:36,0.0,0.0,MARKET,Over the Counter (OTC),0.76747,456.34,US88160R1014,297.300558979504,1
14,14,1476,POS245087914,TSLA,Buy,0.00077738,1286.3348,1.0,2020-08-17,13:32:55,0.0,0.0,MARKET,Over the Counter (OTC),0.76345,1.0,US88160R1014,336.979448555898,1
15,15,1478,POS245087914,TSLA,Buy,0.6,1576.1857,945.71,2020-08-21,13:35:27,0.0,0.0,MARKET,Over the Counter (OTC),0.76342,945.71,US88160R1014,412.9275366115641,0
16,16,1480,POS245087914,TSLA,Buy,0.5,1506.3493,753.17,2020-08-25,13:32:39,0.0,0.0,MARKET,Over the Counter (OTC),0.76039,753.17,US88160R1014,396.204395113034,1
17,17,1483,POS399483942,TSLA,Buy,1.0,336.7167,336.72,2020-08-31,13:37:29,0.0,0.0,MARKET,Over the Counter (OTC),0.75076,336.72,US88160R1014,448.501118866216,1
18,18,1484,POS399483942,TSLA,Buy,1.0,343.2734,343.27,2020-08-31,13:48:47,0.0,0.0,MARKET,Over the Counter (OTC),0.75114,343.27,US88160R1014,457.003221769577,1
19,19,1485,POS399483942,TSLA,Buy,2.0,346.7146,693.43,2020-08-31,14:21:42,0.0,0.0,MARKET,Over the Counter (OTC),0.74965,693.43,US88160R1014,462.501967584873,1
20,20,1486,POS399483942,TSLA,Buy,1.0,365.6032,365.6,2020-08-31,15:17:35,0.0,0.0,MARKET,Over the Counter (OTC),0.7471,365.6,US88160R1014,489.363137464864,0
21,21,1488,POS399483942,TSLA,Buy,1.0,358.0282,358.03,2020-08-31,15:26:15,0.0,0.0,MARKET,Over the Counter (OTC),0.7481,358.03,US88160R1014,478.583344472664,0
22,22,1489,POS399483942,TSLA,Buy,2.0,355.3527,710.71,2020-08-31,15:27:20,0.0,0.0,STOP_LIMIT,NASDAQ,0.74811,710.71,US88160R1014,475.00060151582,0
23,23,1491,POS403143520,TSLA,Buy,2.0,364.5507,729.1,2020-09-01,13:40:16,0.0,0.0,MARKET,Over the Counter (OTC),0.74398,729.1,US88160R1014,490.000672061077,0
24,24,1492,POS403143520,TSLA,Buy,2.0,364.757,729.51,2020-09-01,13:43:50,0.0,0.0,STOP_LIMIT,NASDAQ,0.7444,729.51,US88160R1014,490.001343363783,0
25,25,1493,POS403143520,TSLA,Buy,2.0,362.3463,724.69,2020-09-01,13:45:39,0.0,0.0,MARKET,Over the Counter (OTC),0.74373,724.69,US88160R1014,487.201403735226,0
26,26,1494,POS403143520,TSLA,Buy,1.0,360.7852,360.79,2020-09-01,13:48:07,0.0,0.0,STOP_LIMIT,NASDAQ,0.74388,360.79,US88160R1014,485.004570629671,1
27,27,1495,POS403143520,TSLA,Buy,2.0,355.678,711.36,2020-09-01,14:12:07,0.0,0.0,MARKET,Over the Counter (OTC),0.74515,711.36,US88160R1014,477.32402871905,1
28,28,1496,POS403143520,TSLA,Buy,1.0,360.3276,360.33,2020-09-01,15:43:34,0.0,0.0,MARKET,Over the Counter (OTC),0.74535,360.33,US88160R1014,483.434091366472,1
