,Unnamed: 0,index,Order ID,Ticker Symbol,Type,Shares,Price,Total amount,Trading day,Trading time,Commission,Charges and fees,Order Type,Execution venue,Exchange rate,Total cost,ISIN,Execution_Price,Target
0,0,1465,POS245087914,TSLA,Sell,0.07963613,1255.7113,100.0,2020-07-20,17:22:16,0.0,0.0,MARKET,Over the Counter (OTC),0.7905,0.0,US88160R1014,317.700518659076,1
1,1,1466,POS245087914,TSLA,Sell,0.05,1273.4054,63.67,2020-07-23,13:44:50,0.0,0.0,MARKET,Over the Counter (OTC),0.78773,0.0,US88160R1014,323.31011894938604,1
2,2,1470,POS245087914,TSLA,Sell,0.2,1148.1722,229.63,2020-08-04,14:29:08,0.0,0.0,MARKET,Over the Counter (OTC),0.76697,0.0,US88160R1014,299.404722479366,1
3,3,1477,POS245087914,TSLA,Sell,0.00078226,1466.1049,1.15,2020-08-20,15:01:35,0.0,0.0,MARKET,Over the Counter (OTC),0.76108,0.0,US88160R1014,385.269590581804,0
4,4,1479,POS245087914,TSLA,Sell,0.6,1537.2409,922.34,2020-08-24,13:52:57,0.0,0.0,MARKET,Over the Counter (OTC),0.76289,0.0,US88160R1014,403.004600925428,0
5,5,1481,POS245087914,TSLA,Sell,0.5,1531.7888,765.89,2020-08-25,19:22:42,0.0,0.0,MARKET,Over the Counter (OTC),0.76058,0.0,US88160R1014,402.79491966657,1
6,6,1482,POS245087914,TSLA,Sell,1.0,1636.4035,1636.4,2020-08-27,16:39:01,0.0,0.0,MARKET,Over the Counter (OTC),0.75746,0.0,US88160R1014,432.076545296122,0
7,7,1487,POS399483942,TSLA,Sell,3.0,358.6174,1075.85,2020-08-31,15:24:31,0.0,0.0,MARKET,Over the Counter (OTC),0.74797,0.0,US88160R1014,479.454256186745,1
8,8,1490,POS399483942,TSLA,Sell,5.0,361.0898,1805.45,2020-09-01,13:36:32,0.0,0.0,MARKET,Over the Counter (OTC),0.744,0.0,US88160R1014,485.335752688172,0
9,9,1497,POS403143520,TSLA,Sell,5.0,363.2608,1816.3,2020-09-01,16:09:43,0.0,0.0,MARKET,Over the Counter (OTC),0.74563,0.0,US88160R1014,487.186406126363,1
