ISIN,Ticker,Name,Shares,Exchange rate,Result,Total amount,Withholding tax,Currency (Withholding tax),Charge amount (GBP),Stamp duty (GBP),Stamp duty reserve tax (GBP),Transaction fee (GBP),Notes,Order ID,French transaction tax,Execution_Price,Trading day,Trading time,Type,Price,Sector,Industry,YF_TICKER
GB00BDR05C01,NG,National Grid,1,100,,9.19,,,,,0.05,,,EOF155067316,,914.6,20/03/2020,09:53:00,Buy,9.146,Utilities,Utilities—Regulated Electric,NG.L
US2546871060,DIS,Walt Disney,1,1.17811,,81.56,,,,,,,,EOF155260423,,96.09,20/03/2020,13:30:00,Buy,81.56284218,Communication Services,Entertainment,DIS
US92826C8394,V,Visa,0.58,1.17818,,75.88,,,,,,,,EOF155268762,,154.15,20/03/2020,13:31:00,Buy,130.8373933,Financial Services,Credit Services,V
US2473617023,DAL,Delta Air Lines,1,1.23997,,20.16,,,,,,,,EOF164893808,,25,01/04/2020,15:24:00,Buy,20.16177811,Industrials,Airlines,DAL
US2473617023,DAL,Delta Air Lines,5,1.23917,,97.32,,,,,,,,EOF164951873,,24.12,01/04/2020,16:14:00,Buy,19.46464166,Industrials,Airlines,DAL
US2473617023,DAL,Delta Air Lines,2,1.22116,,35.81,,,,,,,,EOF166934313,,21.87,03/04/2020,15:53:00,Buy,17.90920109,Industrials,Airlines,DAL
NL0000235190,AIR,Airbus,3,1.13391,,143.29,,,,,,,,EOF167385225,0.43,54,06/04/2020,07:04:00,Buy,47.62282721,Industrials,Aerospace & Defense,AIR.PA
US02376R1023,AAL,American Airlines,4,1.24904,,40.09,,,,,,,,EOF172712517,,12.52,13/04/2020,13:32:00,Buy,10.0236982,Industrials,Airlines,AAL
US46131B1008,IVR,Invesco Mortgage Capital,16,1.24855,,48.43,,,,,,,,EOF172746968,,3.78,13/04/2020,13:36:00,Buy,3.027511914,Real Estate,REIT—Mortgage,IVR
US5658491064,MRO,Marathon Oil,10,1.24885,,33.87,,,,,,,,EOF172750863,,4.23,13/04/2020,13:37:00,Buy,3.387116147,Energy,Oil & Gas E&P,MRO
GB0006215205,NEX,National Express Group,10,100,,27.09,,,,0.13,,,,EOF173470032,,269.6,14/04/2020,07:00:00,Buy,2.696,Industrials,Railroads,NEX.L
US46131B1008,IVR,Invesco Mortgage Capital,10,1.22785,,23.37,,,,,,,,EOF181515840,,2.87,21/04/2020,13:30:00,Buy,2.337419066,Real Estate,REIT—Mortgage,IVR
US02376R1023,AAL,American Airlines,3,1.23234,,25.56,,,,,,,,EOF183752181,,10.5,22/04/2020,14:58:00,Buy,8.52037587,Industrials,Airlines,AAL
NL0000235190,AIR,Airbus,1,1.14479,,44.08,,,,,,,,EOF188446611,,50.47,27/04/2020,14:21:00,Buy,44.08668839,Industrials,Aerospace & Defense,AIR.PA
GB0032089863,NXT,Next,1,100,,47.24,,,,,0.24,,,EOF195378452,,4700,01/05/2020,07:15:00,Buy,47,Consumer Cyclical,Apparel Retail,NXT.L
GB00B03MM408,RDSB,Royal Dutch Shell,4,100,,50.3,,,,,0.25,,,EOF205635405,,1251.4,11/05/2020,09:03:00,Buy,12.514,Energy,Oil & Gas Integrated,RDSB.AS
IE0005042456,ISF,iShares Core FTSE 100,9,100,,52.48,,,,,,,,EOF205637640,,583.2,11/05/2020,09:04:00,Buy,5.832,Uncategorised,Uncategorised,ISF.L
US0530151036,ADP,Automatic Data Processing,0.2,1.23217,,23.48,,,,,,,,EOF206139309,,144.71,11/05/2020,13:32:00,Buy,117.4432099,Industrials,Staffing & Employment Services,ADP
US5246601075,LEG,Leggett & Platt,2,1.2276,,45.63,,,,,,,,EOF208675097,,28.01,12/05/2020,17:41:00,Buy,22.81687846,Consumer Cyclical,"Furnishings, Fixtures & Appliances",LEG
GB0006215205,NEX,National Express Group,7,100,,14.28,,,,,0.07,,,EOF209192061,,203,13/05/2020,07:23:00,Buy,2.03,Industrials,Railroads,NEX.L
GB00B1KJJ408,WTB,Whitbread,0.5,100,,13.03,,,,,0.06,,,EOF209205108,,2595,13/05/2020,07:29:00,Buy,25.95,Consumer Cyclical,Restaurants,WTB.L
US46131B1008,IVR,Invesco Mortgage Capital,3,1.22228,,6.15,,,,,,,,EOF210282605,,2.51,13/05/2020,15:41:00,Buy,2.053539287,Real Estate,REIT—Mortgage,IVR
US0970231058,BA,Boeing,0.4,1.22216,,39.46,,,,,,,,EOF210464072,,120.57,13/05/2020,16:42:00,Buy,98.65320416,Industrials,Aerospace & Defense,BA
US2473617023,DAL,Delta Air Lines,3,1.22179,,48.22,,,,,,,,EOF210666822,,19.64,13/05/2020,18:55:00,Buy,16.07477553,Industrials,Airlines,DAL
US95040Q1040,WELL,Welltower,0.28,1.21912,,10.32,,,,,,,,EOF216387290,,44.96,18/05/2020,16:07:00,Buy,36.87906031,Real Estate,REIT—Healthcare Facilities,WELL
US95040Q1040,WELL,Welltower,1,1.2181,,38.11,,,,,,,,EOF223160271,,46.43,22/05/2020,13:30:00,Buy,38.11673918,Real Estate,REIT—Healthcare Facilities,WELL
US7561091049,O,Realty Income,1,1.21752,,42.4,,,,,,,,EOF223210639,,51.63,22/05/2020,13:34:00,Buy,42.40587424,Real Estate,REIT—Retail,O
GB0002634946,BA.,BAE Systems,10,100,,50.93,,,,,0.25,,,EOF224872259,,506.8,26/05/2020,07:00:00,Buy,5.068,Industrials,Aerospace & Defense,BA.L
GB00B1KJJ408,WTB,Whitbread,1,100,,24.02,,,,,0.12,,,EOF224908569,,2390,26/05/2020,07:02:00,Buy,23.9,Consumer Cyclical,Restaurants,WTB.L
GB00BN7CG237,AML,Aston Martin,140,100,,68.94,,,,,0.34,,,EOF224930822,,49,26/05/2020,07:05:00,Buy,0.49,Consumer Cyclical,Auto Manufacturers,AML.L
