ISIN,Ticker Symbol,Shares,Exchange rate,Result,Total amount,Withholding tax,Currency (Withholding tax),Charge amount (GBP),Stamp duty (GBP),Stamp duty reserve tax (GBP),Transaction fee (GBP),Notes,Order ID,French transaction tax,Execution_Price,Trading day,Trading time,Type,Price,Sector,Industry,Name
GB00BDR05C01,NG,1,100,,9.19,,,,,0.05,,,EOF155067316,,914.6,20/03/2020,09:53:00,Buy,9.146,Utilities,Utilities—Regulated Electric,National Grid
US2546871060,DIS,1,1.17811,,81.56,,,,,,,,EOF155260423,,96.09,20/03/2020,13:30:00,Buy,81.56284218,Communication Services,Entertainment,Walt Disney
US92826C8394,V,0.58,1.17818,,75.88,,,,,,,,EOF155268762,,154.15,20/03/2020,13:31:00,Buy,130.8373933,Financial Services,Credit Services,Visa
US2473617023,DAL,1,1.23997,,20.16,,,,,,,,EOF164893808,,25,04/01/2020,15:24:00,Buy,20.16177811,Industrials,Airlines,Delta Air Lines
US2473617023,DAL,5,1.23917,,97.32,,,,,,,,EOF164951873,,24.12,04/01/2020,16:14:00,Buy,19.46464166,Industrials,Airlines,Delta Air Lines
US2473617023,DAL,2,1.22116,,35.81,,,,,,,,EOF166934313,,21.87,04/03/2020,15:53:00,Buy,17.90920109,Industrials,Airlines,Delta Air Lines
NL0000235190,AIR,3,1.13391,,143.29,,,,,,,,EOF167385225,0.43,54,04/06/2020,07:04:00,Buy,47.62282721,Industrials,Aerospace & Defense,Airbus
US02376R1023,AAL,4,1.24904,,40.09,,,,,,,,EOF172712517,,12.52,13/04/2020,13:32:00,Buy,10.0236982,Industrials,Airlines,American Airlines
US46131B1008,IVR,16,1.24855,,48.43,,,,,,,,EOF172746968,,3.78,13/04/2020,13:36:00,Buy,3.027511914,Real Estate,REIT—Mortgage,Invesco Mortgage Capital
US5658491064,MRO,10,1.24885,,33.87,,,,,,,,EOF172750863,,4.23,13/04/2020,13:37:00,Buy,3.387116147,Energy,Oil & Gas E&P,Marathon Oil
GB0006215205,NEX,10,100,,27.09,,,,0.13,,,,EOF173470032,,269.6,14/04/2020,07:00:00,Buy,2.696,Industrials,Railroads,National Express Group
US46131B1008,IVR,10,1.22785,,23.37,,,,,,,,EOF181515840,,2.87,21/04/2020,13:30:00,Buy,2.337419066,Real Estate,REIT—Mortgage,Invesco Mortgage Capital
US02376R1023,AAL,3,1.23234,,25.56,,,,,,,,EOF183752181,,10.5,22/04/2020,14:58:00,Buy,8.52037587,Industrials,Airlines,American Airlines
NL0000235190,AIR,1,1.14479,,44.08,,,,,,,,EOF188446611,,50.47,27/04/2020,14:21:00,Buy,44.08668839,Industrials,Aerospace & Defense,Airbus
GB0032089863,NXT,1,100,,47.24,,,,,0.24,,,EOF195378452,,4700,05/01/2020,07:15:00,Buy,47,Consumer Cyclical,Apparel Retail,Next
GB00B03MM408,RDSB,4,100,,50.3,,,,,0.25,,,EOF205635405,,1251.4,05/11/2020,09:03:00,Buy,12.514,Energy,Oil & Gas Integrated,Royal Dutch Shell
IE0005042456,ISF,9,100,,52.48,,,,,,,,EOF205637640,,583.2,05/11/2020,09:04:00,Buy,5.832,Uncategorised,Uncategorised,iShares Core FTSE 100
US0530151036,ADP,0.2,1.23217,,23.48,,,,,,,,EOF206139309,,144.71,05/11/2020,13:32:00,Buy,117.4432099,Industrials,Staffing & Employment Services,Automatic Data Processing
US5246601075,LEG,2,1.2276,,45.63,,,,,,,,EOF208675097,,28.01,05/12/2020,17:41:00,Buy,22.81687846,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Leggett & Platt
GB0006215205,NEX,7,100,,14.28,,,,,0.07,,,EOF209192061,,203,13/05/2020,07:23:00,Buy,2.03,Industrials,Railroads,National Express Group
GB00B1KJJ408,WTB,0.5,100,,13.03,,,,,0.06,,,EOF209205108,,2595,13/05/2020,07:29:00,Buy,25.95,Consumer Cyclical,Restaurants,Whitbread
